total_v2_agcho10,ashrafTO_agcho10,abdullahTO_agcho10,df_5to11,plus_wind_00Z_10,population_2010_adj,first,DISTID,_CX,_CY,windspeed_06Z,windspeed_12Z,windspeed_06Z2,windspeed_12Z2,temp_00Z,temp_06Z,temp_12Z,rain_00Z,rain_06Z,rain_12Z,temp_00Z2,temp_06Z2,temp_12Z2,rain_00Z2,rain_06Z2,rain_12Z2,plus_wind_00Z_10_pre14D
.21294862,.14187147,.035033483,3,2.9258816,24747.754,1,1002,71.22873425301657,34.86187116609278,2.800660848617554,1.014149904251099,7.8437014,1.0285001,280.2790222,280.0010071,282.0150146,2.79999989271164,17.1499996185303,4.55000007152557,78556.328,78400.563,79532.469,7.8399992,294.1225,20.702501,3.2355914
.16383407,.12487444,.038959619,10,4.5380402,26514.633,0,1003,71.37383714099288,35.07227493404119,2.138433933258057,2.349318981170654,4.5728998,5.5192995,288.329010009766,306.621002197266,305.207000732422,0,0,0,83133.617,94016.438,93151.313,0,0,0,4.9611163
.076938652,.045295741,.007995585,2,4.1862512,26514.633,1,1003,71.37383714099288,35.07227493404119,3.360743999481201,2.238325357437134,11.2946,5.0101004,278.7710266,278.7870178,280.3390198,1.39999997615814,17.8999996185303,5.40000009536743,77713.289,77722.203,78589.969,1.9599999,320.40997,29.160002,4.4740181
.48782983,.44336131,.044468507,5,4.3932953,20396.457,0,1004,71.43766996817034,35.00040169251163,1.934611678123474,2.307923555374146,3.7427223,5.3265109,289.927001953125,309.26166788737,307.183675130208,0,0,0,84057.664,95642.781,94361.813,0,0,0,4.7805605
.073836356,.028926592,.0068149092,4,3.8570073,20396.457,1,1004,71.43766996817034,35.00040169251163,3.215051412582397,2.310112953186035,10.336555,5.3366218,279.8483582,279.6436768,280.9710185,1.39999997615814,17.8999996185303,5.40000009536743,78315.102,78200.586,78944.711,1.9599999,320.40997,29.160002,4.2144794
.40878385,.25698331,.15180056,6,5.5425396,33313.449,0,1005,71.5406005310757,35.26690627544871,2.267531871795654,1.388092160224915,5.1417007,1.9267999,281.480987548828,304.001007080078,300.785003662109,0,0,0,79231.547,92416.609,90471.617,0,0,0,6.0101528
.36943036,.14900889,.094166175,7,4.8843021,33313.449,1,1005,71.5406005310757,35.26690627544871,3.247768402099609,2.367994785308838,10.547999,5.6073995,273.1090088,274.9850159,276.4110107,1.25,13.0499997138977,4.85000014305115,74588.531,75616.758,76403.047,1.5625,170.30249,23.522501,5.8357544
.085621893,.064316705,.021305189,4,4.6141586,22435.85,0,1006,71.33074030757668,35.23383674585008,1.721227765083313,2.206275224685669,2.962625,4.8676505,281.738998413086,300.636001586914,298.356002807617,0,0,0,79376.859,90382.008,89016.305,0,0,0,4.8998728
.15497519,.10206879,.015912034,4,4.2390471,22435.85,1,1006,71.33074030757668,35.23383674585008,2.682181835174561,1.162335991859436,7.1940994,1.351025,273.4070129,274.2340088,275.9210205,2.77499997615814,13.349999666214,4.3500000834465,74751.398,75204.289,76132.406,7.7006249,178.22249,18.922501,4.2052212
.5225001,.45750347,.064996615,3,4.3917751,35217.219,0,1007,71.22539501269488,35.03514711048634,2.432858467102051,2.940646171569824,5.9188004,8.6473999,286.382995605469,303.542999267578,302.47900390625,0,0,0,82015.219,92138.352,91493.547,0,0,0,4.5354509
.21165782,.12527962,.0082630031,3,3.8082676,35217.219,1,1007,71.22539501269488,35.03514711048634,2.965687036514282,1.178897857666016,8.7952995,1.3898002,277.5730286,277.7950134,279.9150085,2.79999989271164,17.1499996185303,4.55000007152557,77046.789,77170.07,78352.414,7.8399992,294.1225,20.702501,3.8651874
.34483165,.3081513,.036680356,8,4.2087569,33042.211,0,1008,71.08197546640518,34.99847581942257,2.630075931549072,3.383338928222656,6.9172993,11.446982,287.537498474121,305.000999450684,303.463516235352,0,0,0,82677.813,93025.609,92090.109,0,0,0,4.0661602
